ORBIT NUMBER  PERIGEE TIME             PERIGEE R_GSM     PERIGEE X_GSM        PERIGEE Y_GSM        PERIGEE Z_GSM        APOGEE TIME              APOGEE R_GSM      APOGEE X_GSM         APOGEE Y_GSM         APOGEE Z_GSM         
1             2015-09-01T04:57:24.122  7831.35693359375  -1035.61181640625    -7761.06396484375    153.4604949951172    2015-09-01T16:54:24.122  76378.28125       9310.1162109375      75788.9453125        -1731.8626708984375  
2             2015-09-02T04:50:54.122  7833.0            -1075.0372314453125  -7756.98779296875    171.2432861328125    2015-09-02T16:47:54.122  76386.796875      10472.19140625       75644.3671875        -1790.505615234375   
3             2015-09-03T04:44:24.122  7826.21875        -1089.621337890625   -7747.6298828125     191.44163513183594   2015-09-03T16:40:54.122  76392.6796875     11657.810546875      75475.375            -1845.2001953125     
4             2015-09-04T04:37:54.122  7822.6279296875   -1122.8448486328125  -7738.8017578125     208.97984313964844   2015-09-04T16:34:24.122  76395.375         12811.1826171875     75289.453125         -1903.8211669921875  
5             2015-09-05T04:30:54.122  7821.16943359375  -1441.90185546875    -7684.82666015625    187.2185516357422    2015-09-05T16:27:24.122  76395.0           13990.486328125      75077.4765625        -1958.232421875      
6             2015-09-06T04:24:24.122  7822.49365234375  -1470.2552490234375  -7680.33154296875    205.5719451904297    2015-09-06T16:20:54.122  76392.1640625     15139.8408203125     74849.734375         -2016.236572265625   
7             2015-09-07T04:17:54.122  7826.36669921875  -1481.1195068359375  -7681.6083984375     226.25033569335938   2015-09-07T16:14:24.102  76387.7265625     16288.4033203125     74602.09375          -2073.771728515625   
8             2015-09-08T04:10:54.102  7830.3203125      -1748.830810546875   -7629.58740234375    211.9113311767578    2015-09-08T16:07:24.102  76382.6953125     17464.53125          74328.8828125        -2126.91455078125    
9             2015-09-09T04:04:24.102  7835.42138671875  -1712.0400390625     -7642.3583984375     238.97915649414062   2015-09-09T16:00:54.102  76378.1015625     18611.8671875        74043.53125          -2183.45263671875    
10            2015-09-10T03:57:24.102  7838.56689453125  -1930.0679931640625  -7593.7099609375     231.35662841796875   2015-09-10T15:53:54.101  76374.9453125     19786.0703125        73733.609375         -2235.67138671875    
11            2015-09-11T03:50:24.101  7840.521484375    -2128.488037109375   -7542.68701171875    226.2358856201172    2015-09-11T15:46:54.101  76374.0703125     20958.46875          73406.453125         -2287.525390625      
